"Comment","Designator","Footprint","Quantity","Supplier Part Number","Manufacturer Part Number","Manufacturer"
"100uF 10V X5R","TXC1,RXC1","1210","2","C23742","CL32A107MPVNNNE","Samsung Electro-Mechanics"
"22uF 25V X5R","TXC2,TXC3,RXC2,RXC3","1206","4","C12891","CL31A226KAHNNNE","Samsung Electro-Mechanics"
"0.1uF 50V X7R","TXC4,TXC8,RXC4,RXC8","0603","4","C1591","CL10B104KB8NNNC","Samsung Electro-Mechanics"
"1uF 50V X7R","TXC5,TXC6,TXC9,RXC5,RXC6,RXC9","0805","6","C28323","CL21B105KBFNNNE","Samsung Electro-Mechanics"
"22uF 6.3V X5R","TXC7,RXC7","1206","2","C159759","CL31A226KQHNNNE","Samsung Electro-Mechanics"
"10uF 25V X5R","TXC10","0805","1","C15850","CL21A106KAYNNNE","Samsung Electro-Mechanics"
"SS34 Schottky","TXD1,RXD1","SMA","2","C8678","SS34","MDD"
"Fuse 2A 1206","TXF1,RXF1","1206","2","C3105","0466002.NRHF","Littelfuse"
"JST VH B2P-VH-B","TXJ1,RXJ1","JST VH 2P 3.96mm","2","C265114","B2P-VH-B(LF)(SN)","JST"
"Header 1.27mm 1x5","TXJ2","1.27mm 1x5","1","C962329","PZ127V-11-05-H25","XFCN"
"Header 2.54mm 1x5","TXJ3,RXJ3","2.54mm 1x5","2","C492404","PZ254V-11-05P","XFCN"
"Inductor 22uH 3.6A","TXL1,RXL1","12.3x12.3mm","2","C9905","SMDRI127-220MT","Shun Xiang Nuo"
"Resistor 73.2k 1%","TXR1,RXR1","0805","2","C228988","AC0805FR-0773K2L","YAGEO"
"Resistor 10k 1%","TXR2,TXR3,TXR4,RXR2,RXR3,RXR4","0805","6","C84376","RC0805FR-0710KL","YAGEO"
"Resistor 470R 1%","RXR5","0805","1","C114564","RC0805FR-07470RL","YAGEO"
"LED Red","RXLED1","0805","1","C2295","KT-0805R","Hubei KENTO Elec"
"ESP32-C3-WROOM-02-N4","TXU1,RXU1","SMD 20x18mm","2","C2934560","ESP32-C3-WROOM-02-N4","ESPRESSIF"
"AP2112K-3.3TRG1","TXU2,RXU2","SOT-25-5","2","C51118","AP2112K-3.3TRG1","DIODES"
"MT3608","TXU3,RXU3","SOT-23-6","2","C84817","MT3608","XI'AN Aerosemi Tech"
